,No.,Company,Sector,Entry_valuation($B),Current_valuation($B),Entry,Location,Investors,Type,time_period,value_over_period,eval_rise_per_year,Year
78,79,Pristyn Care,Healthtech,1.4,1.4,Dec/2021,Gurgaon,"Tiger Global, Sequoia Capital India, Hummingbird Ventures, Epiq Capital",U,1.5,0.0,0.0,2021-12-01
79,80,Mamaearth,D2C,1.07,1.07,Dec/2021,Gurgaon,"Sequoia Capital India, Sofina, Sharrp Ventures, Fireside Ventures",U,1.5,0.0,0.0,2021-12-01
80,81,GlobalBees,Aggregator,1.1,1.1,Dec/2021,Delhi,"PremjiInvest, SoftBank Corp, TPG Capital, Steadview Capital",U,1.5,0.0,0.0,2021-12-01
81,82,Fractal,SaaS,1.0,1.0,Jan/2022,Mumbai,"TPG Capital, TA Associates, Khazanah, Apax Partners",U,1.42,0.0,0.0,2022-01-01
82,83,LEAD School,Edtech,1.1,1.1,Jan/2022,Mumbai,"GSV Ventures, WestBridge, Elevar Equity, TPG Growth",U,1.42,0.0,0.0,2022-01-01
83,84,DarwinBox,SaaS,1.0,1.0,Jan/2022,Hyderabad,"3ONE4 Capital, Lightspeed Ventures, Sequoia Capital India, TCV, Endiya Partners",U,1.42,0.0,0.0,2022-01-01
84,85,DealShare,E-Commerce,1.62,1.7,Jan/2022,Jaipur,"Whiteboard Capital, Z3Partners, Alpha Wave Global, Matrix Partners India, Tiger Global",U,1.42,0.07999999999999985,0.06,2022-01-01
85,86,Polygon,Web3,10.0,10.0,Feb/2022,Bangalore,"Coinbase Ventures, Sequoia Capital India, Tiger Global, SoftBank",U,1.33,0.0,0.0,2022-02-01
86,87,ElasticRun,Logistics Services,1.4,1.4,Feb/2022,Pune,"SoftBank, Goldman Sachs, Prosus Ventures, Kalaari Capital, Avataar Venture Partners",U,1.33,0.0,0.0,2022-02-01
87,88,LivSpace,Interior,1.2,1.2,Feb/2022,Bangalore,"KKR, Jungle Ventures, TPG Growth, Bessemer, Goldman Sachs",U,1.33,0.0,0.0,2022-02-01
88,89,XpressBees Logistics,Logistics Services,1.2,1.2,Feb/2022,Pune,"InvestCorp Group, Norwest, Gaja Capital, TPG Growth, ChrysCapital",U,1.33,0.0,0.0,2022-02-01
89,90,Uniphore Software Systems,SaaS,2.5,2.5,Feb/2022,Chennai,"Iron Pillar, March Capital, Chiratae Ventures, NEA",U,1.33,0.0,0.0,2022-02-01
90,91,Hasura,SaaS,1.0,1.0,Feb/2022,Bangalore,"Lightspeed Ventures, Nexus Venture Partners, Vertex, Strive VC",U,1.33,0.0,0.0,2022-02-01
91,92,CredAvenue,Marketplace,1.3,1.3,Mar/2022,Chennai,"B Capital Group, Insight Venture Partners,  Lightrock India, TVS Capital",U,1.25,0.0,0.0,2022-03-01
92,93,Amagi Media Labs,SaaS,1.0,1.0,Mar/2022,Bangalore,"Avataar Venture Partners, PremjiInvest, Accel India, Norwest",U,1.25,0.0,0.0,2022-03-01
93,94,Oxyzo Financial Services,Fintech,1.0,1.0,Mar/2022,Gurgaon,"Alpha Wave Global, Matrix Partners India, Tiger Global, Norwest",U,1.25,0.0,0.0,2022-03-01
94,95,Games24x7,Gaming,2.5,2.5,Mar/2022,Mumbai,"Tiger Global, Malabar Investments,  The Raine Group",U,1.25,0.0,0.0,2022-03-01
95,96,Open Financial Technologies,Fintech,1.0,1.0,May/2022,Bangalore,"3ONE4 Capital, Tiger Global, Temasek, Speedinvest",U,1.08,0.0,0.0,2022-05-01
96,97,PhysicsWallah,Edtech,1.1,1.1,Jun/2022,Noida,"GSV Ventures, WestBridge",U,1.0,0.0,0.0,2022-06-01
97,98,Purplle,E-Commerce,1.1,1.1,Jun/2022,Mumbai,"JSW Ventures, IvyCap Ventures, Blume Ventures, Kedaara Capital",U,1.0,0.0,0.0,2022-06-01
98,99,Leadsquared,SaaS,1.0,1.0,Jun/2022,Bangalore,"Stakeboat Capital, Gaja Capital, WestBridge",U,1.0,0.0,0.0,2022-06-01
99,100,OneCard,Fintech,1.3,1.3,Jul/2022,Pune,"QED Investors, Matrix Partners India, Sequoia Capital India",U,0.92,0.0,0.0,2022-07-01
100,101,Shiprocket,Aggregator,1.23,1.23,Aug/2022,Delhi,"Lightrock India, Info Edge, Tribe Capital, Temasek",U,0.83,0.0,0.0,2022-08-01
101,102,Molbio Diagnostics,Healthtech,1.53,1.53,Sep/2022,Goa,"Temasek, Motilal Oswal",U,0.75,0.0,0.0,2022-09-01
