No.,Company,Sector,Entry Valuation^^ ($B),Valuation ($B),Entry,Location,Select Investors
23,Druva Software,SaaS - Data Management,1,2,Jun/2019,Pune/Sunnyvale,"WestBridge, Nexus Ventures, Sequoia Capital"
24,Icertis,SaaS - Contract Management,1,5,Jul/2019,Pune/Bellevue,"Eight Roads, B Capital, PremjiInvest"
25,CitiusTech,IT Services - Healthcare,1.1,1.1,Jul/2019,Mumbai/Princeton,"General Atlantic, Baring Asia"
26,Ola Electric,Mobility - Electric,1.1,5,Jul/2019,Bangalore,"SoftBank, Tiger Global, Matrix Partners"
27,Lenskart,E-Commerce - Eyewear,1.1,4.5,Sep/2019,Delhi,"SoftBank, Kedaara Capital, TPG, Chiratae Ventures, TR Capital"
28,Pine Labs,Fintech - PoS Payment Solutions,1.6,5,Jan/2020,Noida,"Sequoia Capital India, New Atlantic Ventures, Altimeter Capital, Temasek, Mastercard"
29,Nykaa^,E-Commerce - Personal Care & Cosmetics,1.2,1.8,Mar/2020,Mumbai,"Techpro Ventures, TVS Capital, Sharrp Ventures, TPG Growth, Steadview Capital"
30,Postman,SaaS - API Development & Testing,2,5.6,Jun/2020,Bangalore/San Francisco,"Nexus Ventures, Charles River Ventures, Insight Venture Partners"
31,Unacademy,Edtech,1.4,3.4,Sep/2020,Bangalore,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India, Elevation Capital, General Atlantic, SoftBank, Steadview Capital"
32,RazorPay,Fintech - Payment Gateway,1,7.5,Oct/2020,Bangalore,"Matrix Partners India, Tiger Global, Sequoia Capital India, DST Global"
33,Cars24,Marketplace - Used Cars,1,3.3,Nov/2020,Gurgaon,"Asia Venture Group, Apoletto, Unbound, DST Global, Sequoia Capital India, Alpha Wave Global"
34,PhonePe^,Fintech - Payments,5.5,12,Dec/2020,Bangalore,"Tiger Global, Tencent"
35,Zenoti,SaaS - Salon & Spa Management,1,1.5,Dec/2020,Hyderabad/Bellevue,"Accel India, Norwest, Tiger Global, Steadview Capital, Advent International"
36,Dailyhunt,Content - News,1,5,Dec/2020,Bangalore,"Matrix Partners India, Omidyar Network, Sequoia Capital India, Alpha Wave Global, CPPIB"
37,Glance InMobi,Content - Lockscreen,1,2,Dec/2020,Bangalore/Singapore,"Mithril Capital, Google"
38,Digit,Fintech - General Insurance,1.9,4,Jan/2021,Bangalore,"Fairfax Holdings, A91 Partners, Faering Capital, TVS Capital"
39,Innovaccer,SaaS - Healthcare Data Analytics,1.3,3.2,Feb/2021,Noida/San Francisco,"WestBridge, Lightspeed Ventures, M12 (Microsoft), Tiger Global, Steadview Capital"
40,Infra.Market,B2B E-Commerce - Construction Materials,1,2.5,Feb/2021,Thane,"Accel India, Nexus Venture Partners, Tiger Global, Evolvence India"
41,Five Star Business Finance^,NBFC,1.4,1.4,Mar/2021,Chennai,"Matrix Partners India, Sequoia Capital India, Norwest, Morgan Stanley, TPG Capital"
42,FirstCry,E-Commerce - Baby Care Products,1.7,1.7,Mar/2021,Pune,"Chiratae Ventures, Elevation Capital, Vertex, SoftBank"
43,Meesho,E-Commerce - Social Commerce,2.1,4.9,Apr/2021,Bangalore,"Sequoia Capital India, Elevation Capital, SoftBank, Naspers"
44,CRED,Fintech - Payments & Credit Card Rewards,2.2,6.4,Apr/2021,Bangalore,"Sequoia Capital India, Ribbit Capital, DST Global, Alpha Wave Global"
45,PharmEasy,E-Commerce - Online Pharmacy,1.5,5.6,Apr/2021,Mumbai,"Orios VP, Eight Roads Ventures, Temasek, Naspers, Steadview Capital"
46,Groww,Fintech - Brokerage & Mutual Funds,1,3,Apr/2021,Bangalore,"Sequoia Capital India, Y Combinator, Tiger Global, Ribbit Capital"
47,ShareChat,Social Media,2.1,4.9,Apr/2021,Bangalore,"India Quotient, Elevation Capital, Lightspeed Ventures, Tiger Global, Twitter"
48,Gupshup,Conversational Messaging,1.4,1.4,Apr/2021,Mumbai/San Francisco,"Tiger Global, Charles River Ventures, Helion Ventures"
49,ChargeBee,SaaS - Subscription Billing Solution,1.4,3.5,Apr/2021,Chennai/San Francisco,"Tiger Global, Steadview Capital, Sapphire Ventures, Accel India, Insight Venture Partners"
50,Urban Company,Marketplace - Handyman Services,2.1,2.1,Apr/2021,Delhi,"Tiger Global, Steadview Capital, Accel India, Elevation Capital, Vy Capital, Prosus Ventures"
51,Moglix,B2B E-Commerce - Industrial Equipment,1,2.6,May/2021,Noida/Singapore,"Accel India, Jungle Ventures, Tiger Global, Sequoia Capital India, IFC"
52,Zeta,Fintech - API - Banking Products,1.4,1.5,May/2021,Bangalore/San Francisco,"SoftBank, Mastercard"
53,BrowserStack,SaaS - Software Testing,4,4,Jun/2021,Mumbai/Dublin,"Accel, Bond Capital, Insight Venture Partners"
54,BlackBuck,Logistics Services,1,1,Jul/2021,Bangalore,"Accel India, Sequoia Capital India, Sands Capital, IFC, Tiger Global"
55,Droom,Marketplace - Used Cars,1.2,1.2,Jul/2021,Gurgaon,"Beenos Partners, Lightbox, Axis Capital Partners, Beenext"
56,OfBusiness,NBFC - SME Loans,1.5,5,Jul/2021,Gurgaon,"SoftBank, Tiger Global, Matrix Partners India, Zodius Capital, Alpha Wave Global"
57,BharatPe,Fintech - Payments,2.8,2.8,Aug/2021,Delhi,"Beenext, Sequoia Capital India, Tiger Global, Steadview Capital"
58,MindTickle,SaaS - HR - Training,1.2,1.2,Aug/2021,Bangalore/San Francisco,"SoftBank, Accel India, Qualcomm Ventures, Norwest"
59,upGrad,Edtech - Higher Studies,1.2,2.25,Aug/2021,Mumbai,"Temasek, IFC, Lupa Systems"
60,CoinDCX,Cryptocurrency Exchange,1.1,2.15,Aug/2021,Mumbai,"B Capital, Coinbase Ventures, Polychain Capital"
61,Eruditus,Edtech - Executive Education,3.2,3.2,Aug/2021,Mumbai/Singapore,"SoftBank, Accel, Sequoia Capital India, Bertelsmann India Investments"
62,Blinkit^,E-Commerce - Groceries,1,0.568,Aug/2021,Gurgaon,"Tiger Global, Sequoia Capital India, SoftBank, Apoletto, Zomato"
63,Zetwerk,Marketplace - Manufacturing Services,1,2.5,Aug/2021,Bangalore,"Kae Capital, Sequoia Capital India, Accel India, Lightspeed Ventures, D1 Capital Partners"
64,Mobile Premier League,Gaming,2.3,2.3,Sep/2021,Bangalore,"Sequoia Capital India, Beenext, Moore Strategic Ventures, RTP Global, VH Capital"
65,Apna.co,Marketplace - Jobs,1.1,1.1,Sep/2021,Bangalore,"Sequoia Capital India, Lightspeed Ventures, Tiger Global, Insight Venture Partners"
66,Vedantu,Edtech,1,1,Sep/2021,Bangalore,"Accel India, Tiger Global, Omidyar Network, WestBridge, ABC World Asia"
67,Licious,D2C - Meat,1,1.3,Oct/2021,Bangalore,"Mayfield, 3ONE4 Capital, Sistema Asia Fund, Bertelsmann India, Vertex, Multiples PE"
68,CoinSwitch,Cryptocurrency Exchange,1.9,1.9,Oct/2021,Bangalore,"Tiger Global, Sequoia Capital India, Ribbit Capital, Andreessen Horowitz, Coinbase Ventures"
69,Rebel Foods,Foodtech - Cloud Kitchen,1.4,1.4,Oct/2021,Mumbai,"Sequoia Capital India, Lightbox, Coatue Management, RTP Global, QIA, Evolvence India"
70,Cardekho,Marketplace - Used Cars,1.2,1.2,Oct/2021,Jaipur,"Sequoia Capital India, Hillhouse Capital, CapitalG, LeapFrog"
71,Acko,Fintech - General Insurance,1.1,1.1,Oct/2021,Bangalore,"Accel India, Elevation Capital, Amazon, General Atlantic, Multiples PE"
72,MyGlamm,D2C - Personal Care,1.2,1.2,Nov/2021,Mumbai,"Amazon, Ascent Capital, Bessemer, Accel India, Wipro Ventures, Kalaari Capital"
73,CureFit,Healthtech - Wellness,1.5,1.5,Nov/2021,Bangalore,"Accel India, Kalaari Capital, Chiratae Ventures, Zomato, Temasek, Endiya Partners"
74,Mensa Brands,Aggregator - Consumer Brands,1.2,1.2,Nov/2021,Bangalore,"Tiger Global, Alpha Wave Global, Accel India, Norwest, Prosus Ventures"
75,NoBroker,Proptech - Classifieds,1,1,Nov/2021,Bangalore,"Tiger Global, General Atlantic, Elevation Capital, Beenext, Moore Strategic Ventures"
76,Spinny,Marketplace - Used Cars,1.5,1.8,Nov/2021,Gurgaon,"Tiger Global, Blume Ventures, General Catalyst Partners, Elevation Capital, Accel India"
77,Upstox,Fintech - Brokerage,3.4,3.4,Nov/2021,Mumbai,"Tiger Global, Ratan Tata, Kalaari Capital"
78,Slice,Fintech - Credit Cards,1,1,Nov/2021,Bangalore,"Tiger Global, Blume Ventures, Das Capital, Simile Venture Partners, Gunosy Capital"
79,Pristyn Care,Healthtech - Elective Surgery Services,1.4,1.4,Dec/2021,Gurgaon,"Tiger Global, Sequoia Capital India, Hummingbird Ventures, Epiq Capital"
80,Mamaearth,D2C - Personal Care,1.07,1.07,Dec/2021,Gurgaon,"Sequoia Capital India, Sofina, Sharrp Ventures, Fireside Ventures"
81,GlobalBees,Aggregator - Consumer Brands,1.1,1.1,Dec/2021,Delhi,"PremjiInvest, SoftBank Corp, TPG Capital, Steadview Capital"
82,Fractal,SaaS - Analytics,1,1,Jan/2022,Mumbai/New York,"TPG Capital, TA Associates, Khazanah, Apax Partners"
83,LEAD School,Edtech,1.1,1.1,Jan/2022,Mumbai,"GSV Ventures, WestBridge, Elevar Equity, TPG Growth"
84,DarwinBox,SaaS - HR,1,1,Jan/2022,Hyderabad/Singapore,"3ONE4 Capital, Lightspeed Ventures, Sequoia Capital India, TCV, Endiya Partners"
85,DealShare,E-Commerce - Social Commerce,1.62,1.7,Jan/2022,Jaipur,"Whiteboard Capital, Z3Partners, Alpha Wave Global, Matrix Partners India, Tiger Global"
86,Polygon,Web3 Infrastructure - Dapps,10,10,Feb/2022,Bangalore,"Coinbase Ventures, Sequoia Capital India, Tiger Global, SoftBank"
87,ElasticRun,Logistics Services,1.4,1.4,Feb/2022,Pune,"SoftBank, Goldman Sachs, Prosus Ventures, Kalaari Capital, Avataar Venture Partners"
88,LivSpace,Interior Design - Modular Kitchens & Home Products,1.2,1.2,Feb/2022,Bangalore,"KKR, Jungle Ventures, TPG Growth, Bessemer, Goldman Sachs"
89,XpressBees Logistics,Logistics Services,1.2,1.2,Feb/2022,Pune,"InvestCorp Group, Norwest, Gaja Capital, TPG Growth, ChrysCapital"
90,Uniphore Software Systems,SaaS - Conversational Service Automation,2.5,2.5,Feb/2022,Chennai/Palo Alto,"Iron Pillar, March Capital, Chiratae Ventures, NEA"
91,Hasura,SaaS - Programming Tools,1,1,Feb/2022,Bangalore,"Lightspeed Ventures, Nexus Venture Partners, Vertex, Strive VC"
92,CredAvenue,Marketplace - Lending,1.3,1.3,Mar/2022,Chennai,"B Capital Group, Insight Venture Partners,  Lightrock India, TVS Capital"
93,Amagi Media Labs,SaaS - Local Ads Targeting,1,1,Mar/2022,Bangalore,"Avataar Venture Partners, PremjiInvest, Accel India, Norwest"
94,Oxyzo Financial Services,Fintech - Marketplace - SME Lending,1,1,Mar/2022,Gurgaon,"Alpha Wave Global, Matrix Partners India, Tiger Global, Norwest"
95,Games24x7,Gaming,2.5,2.5,Mar/2022,Mumbai,"Tiger Global, Malabar Investments,  The Raine Group"
96,Open Financial Technologies,Fintech - Neo Bank,1,1,May/2022,Bangalore,"3ONE4 Capital, Tiger Global, Temasek, Speedinvest"
97,PhysicsWallah,Edtech,1.1,1.1,Jun/2022,Noida,"GSV Ventures, WestBridge"
98,Purplle,E-Commerce - Personal Care & Cosmetics,1.1,1.1,Jun/2022,Mumbai,"JSW Ventures, IvyCap Ventures, Blume Ventures, Kedaara Capital"
99,Leadsquared,SaaS - CRM,1,1,Jun/2022,Bangalore,"Stakeboat Capital, Gaja Capital, WestBridge"
100,OneCard,Fintech - Credit Cards,1.3,1.3,Jul/2022,Pune,"QED Investors, Matrix Partners India, Sequoia Capital India"
101,Shiprocket,Aggregator - Logistics Services,1.23,1.23,Aug/2022,Delhi,"Lightrock India, Info Edge, Tribe Capital, Temasek"
102,Molbio Diagnostics,Healthtech - Diagnostics,1.53,1.53,Sep/2022,Goa,"Temasek, Motilal Oswal"
